# Anno 1800 Building Reference Guide

This document contains a comprehensive list of buildings, production chains, and infrastructure for Anno 1800.

## ℹ️ Legend & Notes

### 1\. Street Distance (Public Services)

Public service buildings (Marketplaces, Churches, etc.) do not have a hard "on/off" radius. They rely on **Street Distance** (tiles traveled along a road).

- **Dark Green (Full Coverage):** Residents get **100%** need satisfaction.
- **Light Green (Partial/Max Range):** Satisfaction drops linearly from 100% to 0% the further you go.
- **Paved Streets:** Extend the effective range by **~50%**.

### 2\. Module Placement Rules

- **Fields (Crops):** Must be **Contiguous**. They must physically touch the main building or another attached field.
- **Pastures (Animals):** Placed within a **7-tile radius** (ModuleBuildRadius) around the main building. They do not strictly need to touch the main building.
- **Radius (Density):** Buildings like Lumberjacks scan a circular area (e.g., 7 tiles) for natural resources (trees).
- **Hacienda Radius:** Hacienda buildings must be placed within the Hacienda's circle (Max **75 tiles**).

### 3\. Production Notation

- **1t / 30s:** Produces 1 ton of goods every 30 seconds.
- **1x1:** Represents a standard single-tile field module.

## 1\. The Old World

The primary region where your empire begins.

### Farmers (Tier 1)

| **Building** | **Size** | **Type** | **Function / Production** | **Inputs** | **Workforce** | **Modules** | **Service/Density Range** |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Marketplace** | 5x6 | Public Service | Provides "Marketplace". | \-  | \-  | \-  | Street: ~48 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Farmer Residence** | 3x3 | Residence | Houses Farmers. | \-  | \-  | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Lumberjack's Hut** | 4x4 | Production | 1t / 15s | \-  | 5 Farmers | \-  | Radius: 7 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Sawmill** | 3x4 | Production | 1t / 15s | 1 Wood | 10 Farmers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Fishery** | 5x11 | Production | 1t / 30s | \-  | 25 Farmers | Coast | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Potato Farm** | 3x3 | Production | 1t / 30s | \-  | 20 Farmers | 72x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Schnapps Distill.** | 3x4 | Production | 1t / 30s | 1 Potato | 50 Farmers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Sheep Farm** | 3x3 | Production | 1t / 30s | \-  | 10 Farmers | 3x (3x3) Pastures | Placement Radius: 7 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Framework Knit.** | 4x4 | Production | 1t / 30s | 1 Wool | 50 Farmers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Pub** | 4x6 | Public Service | Provides "Pub". | \-  | \-  | \-  | Street: ~48 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Fire Station** | 3x5 | Public Service | Extinguishes fires. | \-  | \-  | \-  | Radius: 15 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |

### Workers (Tier 2)

| **Building** | **Size** | **Type** | **Function / Production** | **Inputs** | **Workforce** | **Modules** | **Service/Density Range** |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Worker Residence** | 3x3 | Residence | Houses Workers. | \-  | \-  | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Clay Pit** | 5x5 | Production | 1t / 30s | \-  | 50 Workers | Deposit | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Brick Factory** | 5x5 | Production | 1t / 60s | 1 Clay | 25 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Pig Farm** | 3x4 | Production | 1t / 60s | \-  | 30 Farmers | 5x (3x4) Pastures | Placement Radius: 7 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Slaughterhouse** | 3x4 | Production | 1t / 60s | 1 Pig | 50 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Grain Farm** | 3x4 | Production | 1t / 60s | \-  | 20 Farmers | 144x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Flour Mill** | 3x4 | Production | 1t / 30s | 2 Grain | 10 Farmers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Bakery** | 3x4 | Production | 1t / 60s | 1 Flour | 50 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Sailmakers** | 5x5 | Production | 1t / 30s | 1 Wool | 50 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Iron Mine** | 3x3 | Production | 1t / 15s | \-  | 50 Workers | Deposit | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Charcoal Kiln** | 5x5 | Production | 1t / 30s | \-  | 10 Workers | \-  | Radius: 11 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Furnace** | 4x7 | Production | 1t / 30s | 1 Iron, 1 Coal | 100 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Steelworks** | 5x10 | Production | 1t / 45s | 1 Steel | 200 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Rendering Works** | 3x3 | Production | 1t / 60s | 1 Pig | 40 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Soap Factory** | 4x4 | Production | 1t / 30s | 1 Tallow | 50 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Weapon Factory** | 5x7 | Production | 1t / 90s | 1 Steel | 50 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Malthouse** | 4x5 | Production | 1t / 30s | 1 Grain | 25 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Hop Farm** | 3x4 | Production | 1t / 90s | \-  | 20 Farmers | 96x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Brewery** | 4x5 | Production | 1t / 60s | 1 Malt, 1 Hops | 75 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Church** | 6x8 | Public Service | Provides "Church". | \-  | \-  | \-  | Street: ~72 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **School** | 6x8 | Public Service | Provides "School". | \-  | \-  | \-  | Street: ~72 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |

### Artisans (Tier 3)

| **Building** | **Size** | **Type** | **Function / Production** | **Inputs** | **Workforce** | **Modules** | **Service/Density Range** |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Artisan Res.** | 3x3 | Residence | Houses Artisans. | \-  | \-  | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Sand Mine** | 5x5 | Production | 1t / 30s | \-  | 50 Workers | Coast | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Glassmakers** | 5x5 | Production | 1t / 30s | 1 Quartz Sand | 100 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Window Makers** | 4x5 | Production | 1t / 60s | 1 Glass, 1 Wood | 100 Artisans | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Cattle Farm** | 3x4 | Production | 1t / 120s | \-  | 40 Farmers | 5x (4x4) Pastures | Placement Radius: 7 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Red Pepper Farm** | 3x4 | Production | 1t / 120s | \-  | 30 Farmers | 144x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Artisanal Kit.** | 4x4 | Production | 1t / 120s | 1 Beef, 1 Pepper | 75 Artisans | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Cannery** | 5x6 | Production | 1t / 90s | 1 Goulash, 1 Iron | 100 Artisans | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Sewing M. Fac.** | 5x6 | Production | 1t / 30s | 1 Steel, 1 Wood | 150 Artisans | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Hunting Cabin** | 5x5 | Production | 1t / 60s | \-  | 10 Farmers | \-  | Radius: 9 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Fur Dealer** | 4x6 | Production | 1t / 30s | 1 Furs, 1 Cotton | 200 Artisans | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Variety Theatre** | 9x9 | Public Service | Provides "Variety". | \-  | \-  | \-  | Street: ~96 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **University** | 10x9 | Public Service | Provides "University". | \-  | \-  | \-  | Street: ~96 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |

### Engineers (Tier 4)

| **Building** | **Size** | **Type** | **Function / Production** | **Inputs** | **Workforce** | **Modules** | **Service/Density Range** |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Engineer Res.** | 3x3 | Residence | Houses Engineers. | \-  | \-  | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Limestone Quarry** | 3x3 | Production | 1t / 30s | \-  | 50 Workers | Deposit | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Concrete Factory** | 5x8 | Production | 1t / 60s | 1 Steel, 1 Lime | 200 Engineers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Spectacle Fac.** | 4x5 | Production | 1t / 30s | 1 Glass, 1 Brass | 200 Engineers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Bicycle Factory** | 5x6 | Production | 1t / 90s | 1 Steel, 1 Rubber | 200 Engineers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Heavy Weapons** | 6x8 | Production | 1t / 90s | 1 Steel, 1 Dyn. | 200 Engineers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Motor Assembly** | 8x12 | Production | 1t / 90s | 1 Steel, 1 Brass | 200 Engineers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Clockmakers** | 4x5 | Production | 1t / 90s | 1 Glass, 1 Gold | 150 Engineers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Light Bulb Fac.** | 4x6 | Production | 1t / 60s | 1 Glass, 1 Fil. | 100 Engineers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Filament Fac.** | 4x5 | Production | 1t / 30s | 1 Coal | 50 Workers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Bank** | 10x9 | Public Service | Provides "Bank". | \-  | \-  | \-  | Street: ~96 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Commuter Pier** | Varies | Infrastructure | Shares workforce. | \-  | 50 Engineers | Coast | Global Island |
| --- | --- | --- | --- | --- | --- | --- | --- |

